epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2617,1.77543,3.73051,1.75739,0.52061,0.18921,0.11119,0.03768,2.04919,2.9758,2.18187,0.000255261,0.000255261,0.000255261
2,66.5563,1.80359,3.06734,1.80465,0.45221,0.16853,0.08895,0.03083,2.02588,3.19063,2.20043,0.000494712,0.000494712,0.000494712
3,97.9353,1.80881,2.88522,1.82599,0.38971,0.24652,0.11404,0.03973,2.03598,2.98198,2.20561,0.000717244,0.000717244,0.000717244
4,128.699,1.79961,2.66312,1.81486,0.31739,0.22475,0.14948,0.0511,2.02263,2.68444,2.17759,0.000692869,0.000692869,0.000692869
5,159.969,1.76505,2.53586,1.78123,0.27605,0.2412,0.13046,0.04508,2.00807,2.73216,2.11587,0.000667492,0.000667492,0.000667492
6,191.155,1.75186,2.47135,1.77653,0.45871,0.2709,0.19409,0.07587,1.92237,2.50796,2.06951,0.000642115,0.000642115,0.000642115
7,222.503,1.72113,2.33842,1.75501,0.35744,0.27793,0.21845,0.08179,1.91621,2.3957,2.03376,0.000616738,0.000616738,0.000616738
8,253.93,1.70307,2.31432,1.73827,0.27253,0.31743,0.22958,0.08821,1.87896,2.3279,2.01735,0.000591361,0.000591361,0.000591361
9,285.06,1.68867,2.26921,1.73155,0.23358,0.32653,0.21483,0.08119,1.88205,2.33015,2.00868,0.000565984,0.000565984,0.000565984
10,316.491,1.67838,2.20557,1.71824,0.34555,0.36171,0.23671,0.08896,1.87067,2.2364,1.9881,0.000540607,0.000540607,0.000540607
11,347.982,1.64671,2.16069,1.69314,0.338,0.33469,0.25131,0.09903,1.87509,2.28973,1.96503,0.00051523,0.00051523,0.00051523
12,379.578,1.6449,2.11986,1.69355,0.32277,0.36433,0.28831,0.11586,1.82415,2.12027,1.93985,0.000489853,0.000489853,0.000489853
13,411.971,1.63106,2.05483,1.67053,0.29589,0.39684,0.28753,0.12263,1.8283,2.11024,1.93711,0.000464476,0.000464476,0.000464476
14,534.415,1.61995,2.03999,1.67181,0.32264,0.41059,0.32839,0.13513,1.8303,2.02734,1.91602,0.000439099,0.000439099,0.000439099
15,565.779,1.59606,1.99331,1.64481,0.32926,0.41955,0.33365,0.13365,1.85624,2.09306,1.97035,0.000413722,0.000413722,0.000413722
16,596.986,1.59923,1.98861,1.64334,0.30815,0.3974,0.32078,0.13428,1.83359,2.02133,1.95875,0.000388345,0.000388345,0.000388345
17,628.025,1.58949,1.9228,1.64585,0.36912,0.45102,0.37153,0.15146,1.82418,1.96432,1.9158,0.000362968,0.000362968,0.000362968
18,659.377,1.5894,1.93896,1.6419,0.31835,0.46324,0.34047,0.15099,1.78524,1.97517,1.89081,0.000337591,0.000337591,0.000337591
19,690.611,1.55835,1.90764,1.61275,0.33179,0.4481,0.35545,0.1534,1.81294,2.00131,1.93192,0.000312214,0.000312214,0.000312214
20,721.687,1.56042,1.87082,1.61316,0.3731,0.46511,0.36994,0.15705,1.81101,1.95746,1.9035,0.000286837,0.000286837,0.000286837
21,779.344,1.60077,1.81282,1.72628,0.40241,0.47145,0.37679,0.15888,1.7939,1.96494,1.89494,0.00026146,0.00026146,0.00026146
22,810.031,1.56699,1.70951,1.70827,0.37722,0.49331,0.36449,0.15257,1.78604,1.95684,1.88381,0.000236083,0.000236083,0.000236083
23,840.405,1.56335,1.68488,1.69588,0.43283,0.47841,0.39438,0.16953,1.78628,1.88843,1.88089,0.000210706,0.000210706,0.000210706
24,871.104,1.53901,1.65079,1.67003,0.38716,0.50666,0.39709,0.16933,1.78249,1.88903,1.88484,0.000185329,0.000185329,0.000185329
25,901.722,1.51759,1.5989,1.65653,0.39286,0.48669,0.40177,0.17209,1.77393,1.85911,1.86498,0.000159952,0.000159952,0.000159952
26,932.496,1.49964,1.58541,1.64735,0.38969,0.51766,0.39639,0.17159,1.78186,1.84407,1.88035,0.000134575,0.000134575,0.000134575
27,962.979,1.49098,1.55012,1.63455,0.39119,0.50802,0.40635,0.17862,1.78214,1.84198,1.86826,0.000109198,0.000109198,0.000109198
28,993.319,1.4656,1.51435,1.61429,0.39268,0.51413,0.3983,0.18054,1.76979,1.86039,1.86632,8.3821e-05,8.3821e-05,8.3821e-05
29,1023.65,1.44993,1.49317,1.60226,0.39282,0.53353,0.40724,0.18355,1.76813,1.8243,1.8615,5.8444e-05,5.8444e-05,5.8444e-05
30,1054.07,1.45425,1.4851,1.59925,0.39903,0.53439,0.41344,0.18169,1.76279,1.83855,1.85918,3.3067e-05,3.3067e-05,3.3067e-05
